"tx_id","user_id","clean_amount"
"10001","539",1500
"10002","529",12300
"10003","515",2500
"10004","543",2500
"10005","508",0
"10006","521",5000
"10007","539",12300
"10008","519",5000
"10009","523",2500
"10010","511",3000
"10011","511",2500
"10012","524",0
"10013","536",2500
"10014","540",5000
"10015","524",5000
"10016","503",12300
"10017","522",0
"10018","502",1500
"10019","524",12300
"10020","544",1500
"10021","530",2500
"10022","538",12300
"10023","502",0
"10024","521",0
"10025","533",1500
"10026","512",0
"10027","522",3000
"10028","544",12300
"10029","525",5000
"10030","549",1500
"10031","527",2500
"10032","542",2500
"10033","528",1500
"10034","516",5000
"10035","515",12300
"10036","547",1500
"10037","544",5000
"10038","503",5000
"10039","537",1500
"10040","507",2500
"10041","521",4500
"10042","509",2500
"10043","539",1500
"10044","518",2500
"10045","504",12300
"10046","525",2500
"10047","514",1500
"10048","509",12300
"10049","526",2500
"10050","502",0
"10051","520",1500
"10052","528",1500
"10053","547",1500
"10054","507",3000
"10055","544",1500
"10056","508",5000
"10057","547",5000
"10058","535",2500
"10059","514",5000
"10060","517",3000
"10061","536",1500
"10062","540",12300
"10063","504",4500
"10064","502",2500
"10065","506",0
"10066","542",5000
"10067","504",1500
"10068","529",2500
"10069","518",12300
"10070","526",5000
"10071","544",5000
"10072","534",1500
"10073","510",12300
"10074","536",12300
"10075","514",5000
"10076","531",1500
"10077","548",1500
"10078","515",2500
"10079","508",5000
"10080","514",0
"10081","523",1500
"10082","540",1500
"10083","521",0
"10084","516",2500
"10085","545",12300
"10086","518",1500
"10087","547",2500
"10088","524",4500
"10089","526",12300
"10090","525",12300
"10091","545",5000
"10092","541",12300
"10093","529",2500
"10094","515",0
"10095","545",2500
"10096","501",1500
"10097","525",5000
"10098","507",1500
"10099","509",3000
"10100","524",1500
"10101","501",5000
"10102","544",2500
"10103","508",2500
"10104","524",0
"10105","511",12300
"10106","517",12300
"10107","508",0
"10108","535",5000
"10109","535",0
"10110","533",2500
"10111","505",2500
"10112","542",5000
"10113","539",5000
"10114","541",0
"10115","528",12300
"10116","507",2500
"10117","509",0
"10118","508",5000
"10119","512",5000
"10120","534",1500
"10121","533",0
"10122","548",5000
"10123","523",12300
"10124","524",2500
"10125","537",1500
"10126","535",1500
"10127","544",1500
"10128","540",12300
"10129","522",2500
"10130","527",2500
"10131","535",1500
"10132","501",2500
"10133","535",1500
"10134","537",2500
"10135","547",1500
"10136","514",5000
"10137","503",12300
"10138","501",1500
"10139","505",0
"10140","526",5000
"10141","514",12300
"10142","539",1500
"10143","527",5000
"10144","509",12300
"10145","515",12300
"10146","515",1500
"10147","526",2500
"10148","542",0
"10149","513",0
"10150","532",12300
"10151","539",12300
"10152","549",5000
"10153","532",1500
"10154","504",0
"10155","530",5000
"10156","537",2500
"10157","523",12300
"10158","539",2500
"10159","545",2500
"10160","515",12300
"10161","543",5000
"10162","529",2500
"10163","536",5000
"10164","513",12300
"10165","532",1500
"10166","507",12300
"10167","522",4500
"10168","528",1500
"10169","502",5000
"10170","542",12300
"10171","545",5000
"10172","506",12300
"10173","528",12300
"10174","528",12300
"10175","544",12300
"10176","544",12300
"10177","520",1500
"10178","530",1500
"10179","511",12300
"10180","528",2500
"10181","525",3000
"10182","539",1500
"10183","533",0
"10184","501",2500
"10185","527",12300
"10186","513",1500
"10187","541",5000
"10188","503",1500
"10189","539",2500
"10190","506",1500
"10191","508",0
"10192","527",2500
"10193","509",12300
"10194","537",1500
"10195","533",0
"10196","542",12300
"10197","544",5000
"10198","524",0
"10199","515",5000
"10200","532",1500
"10201","532",0
"10202","524",1500
"10203","541",2500
"10204","549",0
"10205","549",0
"10206","512",1500
"10207","539",5000
"10208","502",0
"10209","503",5000
"10210","549",2500
"10211","537",2500
"10212","549",5000
"10213","517",4500
"10214","549",2500
"10215","502",3000
"10216","502",5000
"10217","528",12300
"10218","523",0
"10219","537",5000
"10220","532",0
"10221","533",2500
"10222","501",0
"10223","519",1500
"10224","502",3000
"10225","544",5000
"10226","526",4500
"10227","532",0
"10228","506",3000
"10229","532",5000
"10230","504",3000
"10231","511",0
"10232","517",1500
"10233","538",3000
"10234","524",0
"10235","505",12300
"10236","534",3000
"10237","506",5000
"10238","522",1500
"10239","511",1500
"10240","548",0
"10241","516",0
"10242","533",3000
"10243","509",1500
"10244","506",12300
"10245","516",12300
"10246","529",0
"10247","503",4500
"10248","520",1500
"10249","536",2500
"10250","519",0
"10251","526",5000
"10252","503",4500
"10253","519",2500
"10254","520",3000
"10255","532",4500
"10256","507",2500
"10257","541",0
"10258","533",12300
"10259","540",1500
"10260","539",12300
"10261","518",5000
"10262","540",5000
"10263","501",2500
"10264","511",2500
"10265","528",0
"10266","525",2500
"10267","523",2500
"10268","531",1500
"10269","530",4500
"10270","542",5000
"10271","535",12300
"10272","507",1500
"10273","516",5000
"10274","526",12300
"10275","548",5000
"10276","549",1500
"10277","502",5000
"10278","501",0
"10279","548",1500
"10280","512",5000
"10281","505",12300
"10282","537",2500
"10283","532",5000
"10284","509",2500
"10285","541",2500
"10286","535",5000
"10287","519",12300
"10288","548",12300
"10289","516",0
"10290","503",1500
"10291","520",0
"10292","524",2500
"10293","533",12300
"10294","524",4500
"10295","511",5000
"10296","549",2500
"10297","508",5000
"10298","536",1500
"10299","538",0
"10300","540",0
"10301","520",12300
"10302","535",0
"10303","548",12300
"10304","525",4500
"10305","535",2500
"10306","525",1500
"10307","529",5000
"10308","518",1500
"10309","546",0
"10310","518",5000
"10311","502",2500
"10312","535",2500
"10313","516",5000
"10314","541",12300
"10315","536",0
"10316","533",1500
"10317","504",1500
"10318","533",2500
"10319","514",1500
"10320","521",2500
"10321","548",0
"10322","520",12300
"10323","508",5000
"10324","507",0
"10325","503",12300
"10326","517",3000
"10327","533",2500
"10328","548",2500
"10329","512",3000
"10330","522",4500
"10331","522",0
"10332","546",3000
"10333","530",2500
"10334","538",1500
"10335","538",12300
"10336","545",2500
"10337","508",1500
"10338","527",5000
"10339","527",1500
"10340","534",5000
"10341","521",2500
"10342","530",12300
"10343","533",1500
"10344","528",2500
"10345","547",1500
"10346","533",5000
"10347","505",2500
"10348","548",4500
"10349","519",0
"10350","504",2500
"10351","535",12300
"10352","549",1500
"10353","517",2500
"10354","544",2500
"10355","528",3000
"10356","530",1500
"10357","529",2500
"10358","546",12300
"10359","506",0
"10360","535",2500
"10361","541",0
"10362","537",2500
"10363","524",12300
"10364","529",2500
"10365","549",12300
"10366","546",1500
"10367","531",0
"10368","535",5000
"10369","533",2500
"10370","521",1500
"10371","532",3000
"10372","523",0
"10373","533",2500
"10374","503",2500
"10375","518",5000
"10376","525",1500
