tx_id,user_id,amount,tx_date
10001,539,1500,02.08.2026
10002,529,12300,02.08.2026
10003,515,2500,broken_date
10004,543,2500,02.08.2026
10005,508,null_error,2026-08-05
10006,521,5000,2026-08-01
10007,539,12300,2026-08-05
10008,519,5000,2026-08-05
10009,523,2500,02.08.2026
10010,511,-3000,2026-08-01
10011,511,2500,02.08.2026
10012,524,,2026/08/03
10013,536,2500,02.08.2026
10014,540,5000,02.08.2026
10015,524,5000,02.08.2026
10016,503,12300,2026-08-01
10017,522,,02.08.2026
10018,502,1500,2026-08-01
10019,524,12300,broken_date
10020,544,1500,2026/08/03
10021,530,2500,2026-08-01
10022,538,12300,broken_date
10023,502,,2026-08-01
10024,521,null_error,2026-08-01
10025,533,1500,2026/08/03
10026,512,null_error,2026-08-05
10027,522,-3000,2026-08-05
10028,544,12300,2026-08-01
10029,525,5000,02.08.2026
10030,549,1500,broken_date
10031,527,2500,02.08.2026
10032,542,2500,02.08.2026
10033,528,1500,2026-08-01
10034,516,5000,2026-08-01
10035,515,12300,2026-08-01
10036,547,1500,2026-08-01
10037,544,5000,2026-08-05
10038,503,5000,2026-08-01
10039,537,1500,2026-08-05
10040,507,2500,2026-08-05
10041,521,-4500,2026-08-01
10042,509,2500,2026/08/03
10043,539,1500,broken_date
10044,518,2500,02.08.2026
10045,504,12300,2026-08-05
10046,525,2500,broken_date
10047,514,1500,2026/08/03
10048,509,12300,02.08.2026
10049,526,2500,02.08.2026
10050,502,null_error,2026-08-05
10051,520,1500,2026-08-01
10052,528,1500,2026/08/03
10053,547,1500,2026-08-05
10054,507,-3000,2026/08/03
10055,544,1500,2026-08-01
10056,508,5000,2026-08-01
10057,547,5000,2026-08-05
10058,535,2500,2026-08-01
10059,514,5000,broken_date
10060,517,-3000,02.08.2026
10061,536,1500,2026-08-05
10062,540,12300,2026/08/03
10063,504,-4500,broken_date
10064,502,2500,2026-08-05
10065,506,    ,2026-08-01
10066,542,5000,2026-08-01
10067,504,1500,2026-08-01
10068,529,2500,2026-08-01
10069,518,12300,2026/08/03
10070,526,5000,broken_date
10071,544,5000,02.08.2026
10072,534,1500,2026/08/03
10073,510,12300,2026/08/03
10074,536,12300,02.08.2026
10075,514,5000,02.08.2026
10076,531,1500,2026-08-01
10077,548,1500,2026/08/03
10078,515,2500,2026-08-05
10079,508,5000,02.08.2026
10080,514,    ,02.08.2026
10081,523,1500,broken_date
10082,540,1500,2026-08-05
10083,521,,2026-08-05
10084,516,2500,02.08.2026
10085,545,12300,2026-08-01
10086,518,1500,broken_date
10087,547,2500,2026-08-05
10088,524,-4500,02.08.2026
10089,526,12300,2026-08-05
10090,525,12300,broken_date
10091,545,5000,broken_date
10092,541,12300,2026/08/03
10093,529,2500,02.08.2026
10094,515,,broken_date
10095,545,2500,2026/08/03
10096,501,1500,2026/08/03
